side,horizon_bars,horizon_minutes,sample_count,profitable_rate,adverse_rate,avg_close_ret_pct_at_h,avg_max_favorable_pct_to_h,avg_max_adverse_pct_to_h
long,1,15,361,0.5623268698060941,0.4376731301939058,0.05259695799369369,0.31169706554169824,0.26962662098732915
long,2,30,355,0.571830985915493,0.428169014084507,0.07699288860622445,0.42903244193718515,0.37802074164429655
long,4,60,333,0.5525525525525525,0.44744744744744747,0.07649133133512272,0.5637554737612629,0.5339326055352087
long,8,120,305,0.5770491803278689,0.42295081967213116,0.1607466793904295,0.7471365164918542,0.7057566551883825
long,12,180,285,0.5684210526315789,0.43157894736842106,0.14913851391392496,0.8481129357843813,0.854776113462003
long,24,360,240,0.6,0.4,0.35177998931921095,1.1824959574126856,1.065078344123043
long,48,720,182,0.6098901098901099,0.3901098901098901,0.5799857682512598,1.537443357465239,1.2924176551644646
long,96,1440,111,0.6576576576576577,0.34234234234234234,0.9087108789071128,2.3059730612847766,1.679223643649285
long,192,2880,27,1.0,0.0,3.142837837250382,4.2317660392177805,0.7784596581154959
short,1,15,393,0.5063613231552163,0.49363867684478374,-0.01942725727548191,0.24197706700989227,0.24749814443686327
short,2,30,386,0.5129533678756477,0.48704663212435234,-0.015726589748994275,0.3198624850887915,0.3483524721535303
short,4,60,362,0.5303867403314917,0.4696132596685083,0.010888831095373242,0.46419528879201233,0.4564086779758416
short,8,120,335,0.5373134328358209,0.4626865671641791,0.019512089626402954,0.6096773819982005,0.5959784442440033
short,12,180,314,0.5318471337579618,0.4681528662420382,0.03999354757045326,0.709031936700757,0.7092102699528712
short,24,360,258,0.5271317829457365,0.4728682170542636,0.11855038753936975,0.9307652201463967,0.9420296068219236
short,48,720,208,0.5336538461538461,0.46634615384615385,0.1722493938945309,1.1801124270301366,1.2009051790950827
short,96,1440,128,0.4765625,0.5234375,0.16014853658064465,1.5343985862100566,1.6267756908576096
short,192,2880,19,1.0,0.0,1.7943483034157082,2.802453593905229,0.5298076227314166
