side,entry_id,trade_count,avg_hold_hours,median_hold_hours,avg_underwater_hours,median_underwater_hours,avg_max_adverse_pct,median_max_adverse_pct,avg_max_consecutive_underwater_hours,avg_pnl_abs
long,Long1,101,14.198019801980198,13.75,10.534653465346535,8.0,2.5916345781259698,2.038633657911987,8.853960396039604,-27.40233193535431
long,Long2,24,11.4375,9.375,5.447916666666667,4.0,2.236375839299555,1.9035312144948668,4.614583333333333,-73.74010965739156
long,Long3,4,5.375,2.875,1.5,1.5,1.8316208808685697,2.0728471336764818,1.3125,-52.44502901443424
long,RevLong,2,38.25,38.25,5.125,5.125,2.0952800311635853,2.0952800311635853,2.25,-102.25442800228879
long,TrendLong,3,7.416666666666667,6.0,7.25,6.0,2.292773533919664,2.1236959819597216,7.25,-128.9305317788059
short,RevShort,3,34.0,34.0,21.75,24.0,3.2448294297756903,2.7087690165823552,18.083333333333332,-187.43045824106403
short,Short1,121,15.324380165289256,21.25,12.413223140495868,14.0,2.0275366280006795,1.7918518166390742,10.367768595041323,-24.11216160830444
short,Short2,28,11.946428571428573,10.125,9.321428571428573,7.875,1.955835529145456,2.035848448238719,7.044642857142858,-59.26982099098292
short,Short3,6,3.7916666666666665,4.0,2.7916666666666665,3.5,1.5239860072503895,1.1852886785618408,2.5,-50.62948322924347
short,TrendShort,8,7.09375,5.125,6.21875,3.625,2.158899252101473,1.9575780826509277,5.75,-167.90169542491972
