trade_id,side,entry_id,level_snapshot,trend_mode_at_entry,exit_reason,entry_time,exit_time,entry_price,exit_price,bars_held,hold_minutes,pnl_abs,pnl_pct,ended_profit,ended_loss,mfe_abs_trade,mae_abs_trade,mfe_pct_trade,mae_pct_trade,max_favorable_pct_path,max_adverse_pct_path,bar_of_max_favorable,bar_of_max_adverse,minutes_to_max_favorable,minutes_to_max_adverse,first_move,first_adverse_bar,first_favorable_bar,first_material_adverse_bar,first_material_favorable_bar,first_adverse_minutes,first_favorable_minutes,first_material_adverse_minutes,first_material_favorable_minutes,underwater_bars,underwater_minutes,underwater_ratio,max_consecutive_underwater_bars,max_consecutive_underwater_minutes,avg_underwater_close_pct
1,short,Short1,1,0,MFEProtect S1,2024-01-10 18:00:00,2024-01-10 20:45:00,46265.53,46127.03,11,165,5.269330759208362,0.3002577881125123,True,False,1465.5299999999988,-400.4700000000012,3.167649868055113,-0.865590429851341,3.1676498680551135,0.865590429851341,7,3,120,60,same_bar,0,0.0,1.0,7.0,15,15.0,30.0,120.0,6,90,0.5454545454545454,5,75,-0.24003111315631376
2,short,Short1,1,0,MFEProtect S1,2024-01-11 11:30:00,2024-01-11 20:00:00,46979.96,46953.35,34,510,0.4134189871945701,0.0566732725141072,True,False,1373.9000000000017,-1989.520000000004,2.924438420126372,-4.234826934718557,2.924438420126372,4.234826934718557,22,12,345,195,same_bar,0,0.0,3.0,16.0,15,15.0,60.0,255.0,16,240,0.47058823529411764,16,240,-1.1678383719356102
3,long,Long1,1,0,Breakout Flip Down,2024-01-12 14:45:00,2024-01-12 22:30:00,45442.05,42299.98,31,465,-139.01835579494812,-6.914454783620005,False,True,17.2300000000032,-3942.049999999996,0.0379164232247515,-8.674894728560872,0.03791642322473551,8.674894728560888,0,29,15,450,same_bar,0,0.0,0.0,,15,15.0,15.0,,31,465,1.0,31,465,-3.928864948200072
4,long,Long2,2,0,Breakout Flip Down,2024-01-12 20:15:00,2024-01-12 22:30:00,43826.03,42299.98,9,135,-139.72105465189065,-3.482063057046225,False,True,155.0699999999997,-2326.029999999999,0.3538308169825095,-5.307416619757708,0.3538308169825095,5.307416619757708,0,7,15,120,same_bar,0,0.0,3.0,,15,15.0,60.0,,8,120,0.8888888888888888,8,120,-1.7202276820419236
5,short,TrendShort,0,-1,Breakout Stop,2024-01-12 22:30:00,2024-01-13 22:00:00,42299.98,42970.02,94,1410,-157.57555674162032,-1.5593197303608308,False,True,99.9800000000032,-957.0199999999968,0.2363594498153502,-2.2624596985624974,0.23635944981535026,2.2624596985624974,0,67,15,1020,same_bar,0,0.0,0.0,,15,15.0,15.0,,94,1410,1.0,94,1410,-1.3192461345462252
6,long,Long1,1,0,MFEProtect L1,2024-01-14 04:45:00,2024-01-14 19:45:00,42580.04,42659.97,60,900,1.450115313034633,0.1877170617970325,True,False,498.9599999999991,-3.779999999998836,1.171816654000323,-0.0088773988939391,1.171816654000323,0.008877398893939122,19,0,300,15,same_bar,0,0.0,,3.0,15,15.0,,60.0,0,0,0.0,0,0,0.0
7,long,Long1,1,0,Exit L1,2024-01-15 00:00:00,2024-01-16 14:30:00,42045.33,42171.4059,154,2310,2.522335617083272,0.2998570828198987,True,False,1355.0999999999983,-16.650000000001455,3.2229500874413364,-0.0396001173019725,3.2229500874413364,0.03960011730197255,73,0,1110,15,same_bar,0,0.0,,1.0,15,15.0,,30.0,0,0,0.0,0,0,0.0
8,long,Long2,2,0,Exit L2,2024-01-15 00:00:00,2024-01-16 14:30:00,42045.33,42171.4059,154,2310,10.088978531854202,0.2998570828198987,True,False,1355.0999999999983,-16.650000000001455,3.2229500874413364,-0.0396001173019725,3.2229500874413364,0.03960011730197255,73,0,1110,15,same_bar,0,0.0,,1.0,15,15.0,,30.0,0,0,0.0,0,0,0.0
9,long,Long1,1,0,NoProgress L1,2024-01-18 18:30:00,2024-01-19 18:30:00,41554.98,41415.46,96,1440,-3.5580615880692466,-0.3357479657071116,False,True,46.54000000000087,-1274.979999999996,0.1119962035837843,-3.0681761849000915,0.11199620358376686,3.068176184900109,2,89,45,1350,same_bar,0,0.0,1.0,,15,15.0,30.0,,96,1440,1.0,96,1440,-0.8893646742219667
10,long,Long2,2,0,Exit L2,2024-01-19 17:00:00,2024-01-22 09:45:00,40535.01,40656.55494,259,3885,10.075471314122648,0.2998517577768034,True,False,1661.8499999999983,-10.75,4.099789293255382,-0.0265202845638868,4.099789293255382,0.02652028456388687,11,0,180,15,same_bar,0,0.0,,0.0,15,15.0,,15.0,0,0,0.0,0,0,0.0
