signal_id,version,trade_id,side,entry_id,entry_time,entry_price,qty,level_snapshot,trend_mode_at_entry,breakout_context,reverse_context,signal_bar_index,signal_open,signal_high,signal_low,signal_close,signal_volume,rsiVal,atr_,atrPct,smoothMid,midHigh,midLow,smoothRes,smoothSup,zoneOffset,channelWidth,signal_hour,signal_month,candle_direction,candle_body_pct,atr_pct_bucket,rsi_bucket
1,v17,1,short,Short1,2024-01-10 18:00:00,46265.53,0.043228699706650046,1,0,,,936,46401.88,46633.86,45840.0,46265.56,2129.40513,64.2270423305996,272.88972783687115,0.005898334048844781,45408.251852608235,46617.65385063058,44198.84985458589,47827.055848652926,42989.447856563536,387.0086393671512,4837.60799208939,18,2024-01,bearish,0.2946468172005261,q4_high,"(60.0, 70.0]"
2,v17,2,short,Short1,2024-01-11 11:30:00,46979.96,0.042590683102427564,1,0,,,1006,47073.2,47089.3,46840.0,46979.99,882.56569,68.48843730136649,282.4126767021499,0.0060113396512461986,45892.4783852456,47115.11458047475,44669.84219001645,48337.75077570389,43447.20599478729,391.243582473328,4890.5447809166,11,2024-01,bearish,0.1984036182212877,q4_high,"(60.0, 70.0]"
3,v17,3,long,Long1,2024-01-12 14:45:00,45442.049999999996,0.04403079978892402,1,0,,,1115,45289.99,45589.78,45250.01,45442.02,1958.42819,37.60652422406616,254.0849854139283,0.00559141044816952,46247.74813640345,47426.2162657631,45069.28000704379,48604.68439512276,43890.81187768413,377.1098013950902,4713.872517438627,14,2024-01,bullish,0.3345581908550695,q4_high,"(30.0, 40.0]"
4,v17,4,long,Long2,2024-01-12 20:15:00,43826.03,0.09065272799883647,2,0,,,1137,43709.76,43838.95,43652.63,43826.0,1147.73539,42.23748012818264,283.5878138137119,0.00647076652703217,46149.29993986368,47317.33180632297,44981.268073404404,48485.363672782245,43813.23620694513,373.7701972669695,4672.1274658371185,20,2024-01,bullish,0.26523068498151314,q4_high,"(40.0, 50.0]"
5,v17,5,short,TrendShort,2024-01-12 22:30:00,42299.98,0.22986643372048612,0,-1,breakout_down,,1146,41904.01,42400.68,41900.04,42300.01,2023.07873,31.033961398292945,309.8469797469858,0.007324985969199199,46082.28220158711,47246.43381109427,44918.13059207997,48410.58542060143,43753.97898257283,372.5285150422878,4656.606438028597,22,2024-01,bullish,0.9361699914491746,q4_high,"(30.0, 40.0]"
6,v17,6,long,Long1,2024-01-14 04:45:00,42580.04,0.02245719642597929,1,0,,,1267,42576.11,42610.32,42566.0,42580.01,129.78227,34.026873114824554,165.76260435391586,0.00389296771780739,44907.987202517994,46020.40543409443,43795.56897094155,47132.823665670854,42683.15073936511,355.9738341044594,4449.672926305742,4,2024-01,bullish,0.009159227534238378,q3,"(30.0, 40.0]"
7,v17,7,long,Long1,2024-01-15 00:00:00,42045.33,0.0227454254269055,1,0,,,1344,41732.35,42060.92,41718.05,42045.3,677.90385,37.00142735572796,160.88184998967114,0.003826393199469884,43978.60960878198,45075.17236173377,42882.046855830195,46171.735114685565,41785.48410287841,350.9000809445727,4386.251011807159,0,2024-01,bullish,0.7443162493786567,q3,"(30.0, 40.0]"
8,v17,8,long,Long2,2024-01-15 00:00:00,42045.33,0.09097841987233231,2,0,,,1344,41732.35,42060.92,41718.05,42045.3,677.90385,37.00142735572796,160.88184998967114,0.003826393199469884,43978.60960878198,45075.17236173377,42882.046855830195,46171.735114685565,41785.48410287841,350.9000809445727,4386.251011807159,0,2024-01,bullish,0.7443162493786567,q3,"(30.0, 40.0]"
9,v17,9,long,Long1,2024-01-18 18:30:00,41554.979999999996,0.023040028470230445,1,0,,,1706,41470.59,41637.95,41431.99,41554.95,507.60572,30.44065413154877,140.28640073987614,0.0033759251482645544,42771.22708494831,43774.74713003957,41767.70703985705,44778.26717513083,40764.1869947658,321.12641442920255,4014.080180365032,18,2024-01,bullish,0.20300830586969923,q2,"(30.0, 40.0]"
10,v17,10,long,Long2,2024-01-19 17:00:00,40535.01,0.09424380431615725,2,0,,,1796,40395.0,40549.0,40280.0,40534.98,1032.06196,31.597220801983156,155.15243633399916,0.00382761842571525,42411.786805720236,43415.086509407054,41408.48710203341,44418.38621309387,40405.187398346585,321.055905179783,4013.1988147472875,17,2024-01,bullish,0.34533136565012046,q3,"(30.0, 40.0]"
